model_key,context_length,compression_ratio,layer,lag,overlap_mean,overlap_std,jaccard_mean,sample_count
mistral_7b_instruct_v03,8192,0.3,10,1024,0.6827734708786011,,0.563624382019043,1
mistral_7b_instruct_v03,8192,0.3,11,1,0.9163797497749328,,0.8469892144203186,1
mistral_7b_instruct_v03,8192,0.3,11,2,0.8963767290115356,,0.8141006827354431,1
mistral_7b_instruct_v03,8192,0.3,11,4,0.8796296119689941,,0.7872235774993896,1
mistral_7b_instruct_v03,8192,0.3,11,8,0.8684000372886658,,0.7695749402046204,1
mistral_7b_instruct_v03,8192,0.3,11,16,0.8606874346733093,,0.7580502033233643,1
mistral_7b_instruct_v03,8192,0.3,11,32,0.8511091470718384,,0.7444393038749695,1
mistral_7b_instruct_v03,8192,0.3,11,64,0.8405994176864624,,0.7307658195495605,1
mistral_7b_instruct_v03,8192,0.3,11,128,0.8259842395782471,,0.7131529450416565,1
mistral_7b_instruct_v03,8192,0.3,11,256,0.8040720224380493,,0.689325213432312,1
mistral_7b_instruct_v03,8192,0.3,11,512,0.768643856048584,,0.653927206993103,1
mistral_7b_instruct_v03,8192,0.3,11,1024,0.7074559330940247,,0.59671950340271,1
mistral_7b_instruct_v03,8192,0.3,12,1,0.8859736919403076,,0.7965776920318604,1
mistral_7b_instruct_v03,8192,0.3,12,2,0.8621618747711182,,0.7594138383865356,1
mistral_7b_instruct_v03,8192,0.3,12,4,0.8441457748413086,,0.732195258140564,1
mistral_7b_instruct_v03,8192,0.3,12,8,0.8308860659599304,,0.7127899527549744,1
mistral_7b_instruct_v03,8192,0.3,12,16,0.8191311955451965,,0.696117103099823,1
mistral_7b_instruct_v03,8192,0.3,12,32,0.8066598176956177,,0.6792574524879456,1
mistral_7b_instruct_v03,8192,0.3,12,64,0.7961621284484863,,0.6664935946464539,1
mistral_7b_instruct_v03,8192,0.3,12,128,0.781157910823822,,0.6493088006973267,1
mistral_7b_instruct_v03,8192,0.3,12,256,0.763881266117096,,0.6330389380455017,1
mistral_7b_instruct_v03,8192,0.3,12,512,0.7281623482704163,,0.5988028645515442,1
mistral_7b_instruct_v03,8192,0.3,12,1024,0.6616346836090088,,0.5372204184532166,1
mistral_7b_instruct_v03,8192,0.3,13,1,0.9131096005439758,,0.8414643406867981,1
mistral_7b_instruct_v03,8192,0.3,13,2,0.8933048844337463,,0.8089218735694885,1
mistral_7b_instruct_v03,8192,0.3,13,4,0.8741793632507324,,0.7783681750297546,1
mistral_7b_instruct_v03,8192,0.3,13,8,0.8585783839225769,,0.7541622519493103,1
mistral_7b_instruct_v03,8192,0.3,13,16,0.8428572416305542,,0.7306931614875793,1
mistral_7b_instruct_v03,8192,0.3,13,32,0.8267113566398621,,0.7077844738960266,1
mistral_7b_instruct_v03,8192,0.3,13,64,0.8099753260612488,,0.6855476498603821,1
mistral_7b_instruct_v03,8192,0.3,13,128,0.7858471274375916,,0.6553758382797241,1
mistral_7b_instruct_v03,8192,0.3,13,256,0.76092529296875,,0.6287069320678711,1
mistral_7b_instruct_v03,8192,0.3,13,512,0.7221973538398743,,0.5907058119773865,1
mistral_7b_instruct_v03,8192,0.3,13,1024,0.6627294421195984,,0.5383822321891785,1
mistral_7b_instruct_v03,8192,0.3,14,1,0.9083955883979796,,0.8335676789283752,1
mistral_7b_instruct_v03,8192,0.3,14,2,0.8813261985778809,,0.789892315864563,1
mistral_7b_instruct_v03,8192,0.3,14,4,0.8583536744117737,,0.7542501091957092,1
mistral_7b_instruct_v03,8192,0.3,14,8,0.8453491926193237,,0.7346709370613098,1
mistral_7b_instruct_v03,8192,0.3,14,16,0.8350042104721069,,0.7197262048721313,1
mistral_7b_instruct_v03,8192,0.3,14,32,0.8252005577087402,,0.7064051032066345,1
mistral_7b_instruct_v03,8192,0.3,14,64,0.8155920505523682,,0.6944766640663147,1
mistral_7b_instruct_v03,8192,0.3,14,128,0.8009938597679138,,0.6773794293403625,1
mistral_7b_instruct_v03,8192,0.3,14,256,0.7794031500816345,,0.6546953916549683,1
mistral_7b_instruct_v03,8192,0.3,14,512,0.7427158951759338,,0.6185179352760315,1
mistral_7b_instruct_v03,8192,0.3,14,1024,0.6798949241638184,,0.5607039928436279,1
mistral_7b_instruct_v03,8192,0.3,15,1,0.905851662158966,,0.8295198082923889,1
mistral_7b_instruct_v03,8192,0.3,15,2,0.8851356506347656,,0.7959679961204529,1
mistral_7b_instruct_v03,8192,0.3,15,4,0.8662846088409424,,0.7664464116096497,1
mistral_7b_instruct_v03,8192,0.3,15,8,0.849806010723114,,0.7413170337677002,1
mistral_7b_instruct_v03,8192,0.3,15,16,0.8348067402839661,,0.7193311452865601,1
mistral_7b_instruct_v03,8192,0.3,15,32,0.821732759475708,,0.7012496590614319,1
mistral_7b_instruct_v03,8192,0.3,15,64,0.8072080016136169,,0.6823008060455322,1
mistral_7b_instruct_v03,8192,0.3,15,128,0.7900437712669373,,0.661905825138092,1
mistral_7b_instruct_v03,8192,0.3,15,256,0.7699999213218689,,0.6415510177612305,1
mistral_7b_instruct_v03,8192,0.3,15,512,0.7336580157279968,,0.6062541007995605,1
mistral_7b_instruct_v03,8192,0.3,15,1024,0.6690630912780762,,0.5467795133590698,1
mistral_7b_instruct_v03,8192,0.3,16,1,0.9065425395965576,,0.8309809565544128,1
mistral_7b_instruct_v03,8192,0.3,16,2,0.8850778341293335,,0.7960429191589355,1
mistral_7b_instruct_v03,8192,0.3,16,4,0.8648751974105835,,0.7643724083900452,1
mistral_7b_instruct_v03,8192,0.3,16,8,0.8485025763511658,,0.7394658923149109,1
mistral_7b_instruct_v03,8192,0.3,16,16,0.8330422043800354,,0.7168337106704712,1
mistral_7b_instruct_v03,8192,0.3,16,32,0.820722222328186,,0.6998703479766846,1
mistral_7b_instruct_v03,8192,0.3,16,64,0.8074500560760498,,0.6826950907707214,1
mistral_7b_instruct_v03,8192,0.3,16,128,0.7930475473403931,,0.6661460995674133,1
mistral_7b_instruct_v03,8192,0.3,16,256,0.7718707919120789,,0.6441664099693298,1
mistral_7b_instruct_v03,8192,0.3,16,512,0.7336921095848083,,0.6063392162322998,1
mistral_7b_instruct_v03,8192,0.3,16,1024,0.6645633578300476,,0.5411553978919983,1
mistral_7b_instruct_v03,8192,0.3,17,1,0.9012426733970642,,0.8219377398490906,1
mistral_7b_instruct_v03,8192,0.3,17,2,0.875822126865387,,0.7811363935470581,1
mistral_7b_instruct_v03,8192,0.3,17,4,0.8548315167427063,,0.7485761046409607,1
mistral_7b_instruct_v03,8192,0.3,17,8,0.841224730014801,,0.7280405163764954,1
mistral_7b_instruct_v03,8192,0.3,17,16,0.8299310803413391,,0.7116760611534119,1
mistral_7b_instruct_v03,8192,0.3,17,32,0.8173828125,,0.6943353414535522,1
mistral_7b_instruct_v03,8192,0.3,17,64,0.8065235614776611,,0.6808289289474487,1
mistral_7b_instruct_v03,8192,0.3,17,128,0.7854756712913513,,0.6550915241241455,1
mistral_7b_instruct_v03,8192,0.3,17,256,0.7670264840126038,,0.6371616125106812,1
mistral_7b_instruct_v03,8192,0.3,17,512,0.7282201647758484,,0.5988020896911621,1
mistral_7b_instruct_v03,8192,0.3,17,1024,0.6724516153335571,,0.5508840084075928,1
mistral_7b_instruct_v03,8192,0.3,18,1,0.9022032618522644,,0.8233174681663513,1
mistral_7b_instruct_v03,8192,0.3,18,2,0.876699686050415,,0.7820029258728027,1
mistral_7b_instruct_v03,8192,0.3,18,4,0.8571827411651611,,0.7517547011375427,1
mistral_7b_instruct_v03,8192,0.3,18,8,0.8448450565338135,,0.7332133054733276,1
mistral_7b_instruct_v03,8192,0.3,18,16,0.8328263759613037,,0.7157222628593445,1
mistral_7b_instruct_v03,8192,0.3,18,32,0.8265546560287476,,0.707659125328064,1
mistral_7b_instruct_v03,8192,0.3,18,64,0.813931941986084,,0.691324770450592,1
mistral_7b_instruct_v03,8192,0.3,18,128,0.7983068823814392,,0.6729761958122253,1
mistral_7b_instruct_v03,8192,0.3,18,256,0.7786456346511841,,0.6530722379684448,1
mistral_7b_instruct_v03,8192,0.3,18,512,0.7391893267631531,,0.6133251786231995,1
mistral_7b_instruct_v03,8192,0.3,18,1024,0.6767003536224365,,0.5561708211898804,1
mistral_7b_instruct_v03,8192,0.3,19,1,0.9097195267677308,,0.8359066247940063,1
mistral_7b_instruct_v03,8192,0.3,19,2,0.886979341506958,,0.7985352873802185,1
mistral_7b_instruct_v03,8192,0.3,19,4,0.8661279082298279,,0.7656570076942444,1
mistral_7b_instruct_v03,8192,0.3,19,8,0.8496187329292297,,0.7403819561004639,1
mistral_7b_instruct_v03,8192,0.3,19,16,0.8334298133850098,,0.7165645360946655,1
mistral_7b_instruct_v03,8192,0.3,19,32,0.8188644051551819,,0.696349561214447,1
mistral_7b_instruct_v03,8192,0.3,19,64,0.8070864677429199,,0.6813803911209106,1
mistral_7b_instruct_v03,8192,0.3,19,128,0.7861107587814331,,0.6558386087417603,1
mistral_7b_instruct_v03,8192,0.3,19,256,0.7609052658081055,,0.6286505460739136,1
mistral_7b_instruct_v03,8192,0.3,19,512,0.7211303114891052,,0.5893611311912537,1
mistral_7b_instruct_v03,8192,0.3,19,1024,0.6687387228012085,,0.5459576845169067,1
mistral_7b_instruct_v03,8192,0.3,20,1,0.9012545943260192,,0.8220801949501038,1
mistral_7b_instruct_v03,8192,0.3,20,2,0.8757234811782837,,0.7809918522834778,1
mistral_7b_instruct_v03,8192,0.3,20,4,0.8548604249954224,,0.7487132549285889,1
mistral_7b_instruct_v03,8192,0.3,20,8,0.841059684753418,,0.7279544472694397,1
mistral_7b_instruct_v03,8192,0.3,20,16,0.8298119902610779,,0.7117247581481934,1
mistral_7b_instruct_v03,8192,0.3,20,32,0.8208279609680176,,0.699644148349762,1
mistral_7b_instruct_v03,8192,0.3,20,64,0.8123897314071655,,0.6894690990447998,1
mistral_7b_instruct_v03,8192,0.3,20,128,0.7956690192222595,,0.6696310639381409,1
mistral_7b_instruct_v03,8192,0.3,20,256,0.7751291990280151,,0.6484202742576599,1
mistral_7b_instruct_v03,8192,0.3,20,512,0.7379263043403625,,0.6118658185005188,1
mistral_7b_instruct_v03,8192,0.3,20,1024,0.6772806644439697,,0.5571122169494629,1
mistral_7b_instruct_v03,8192,0.3,21,1,0.9081895351409912,,0.8331122994422913,1
mistral_7b_instruct_v03,8192,0.3,21,2,0.8849849700927734,,0.7950090765953064,1
mistral_7b_instruct_v03,8192,0.3,21,4,0.8667640089988708,,0.7662398815155029,1
mistral_7b_instruct_v03,8192,0.3,21,8,0.8539501428604126,,0.7465938329696655,1
mistral_7b_instruct_v03,8192,0.3,21,16,0.8384203314781189,,0.7235890626907349,1
mistral_7b_instruct_v03,8192,0.3,21,32,0.8289871215820312,,0.7107259631156921,1
mistral_7b_instruct_v03,8192,0.3,21,64,0.8196236491203308,,0.6991227269172668,1
mistral_7b_instruct_v03,8192,0.3,21,128,0.7979886531829834,,0.6721242070198059,1
mistral_7b_instruct_v03,8192,0.3,21,256,0.7750105261802673,,0.6476262211799622,1
mistral_7b_instruct_v03,8192,0.3,21,512,0.740699291229248,,0.6150146722793579,1
mistral_7b_instruct_v03,8192,0.3,21,1024,0.6919099688529968,,0.5756441354751587,1
mistral_7b_instruct_v03,8192,0.3,22,1,0.9147754907608032,,0.8441940546035767,1
mistral_7b_instruct_v03,8192,0.3,22,2,0.8936896920204163,,0.8091912865638733,1
mistral_7b_instruct_v03,8192,0.3,22,4,0.8787720203399658,,0.7852853536605835,1
mistral_7b_instruct_v03,8192,0.3,22,8,0.8686898946762085,,0.7695159316062927,1
mistral_7b_instruct_v03,8192,0.3,22,16,0.8586805462837219,,0.7543866634368896,1
mistral_7b_instruct_v03,8192,0.3,22,32,0.8483564853668213,,0.7397385835647583,1
mistral_7b_instruct_v03,8192,0.3,22,64,0.8346228003501892,,0.721223771572113,1
mistral_7b_instruct_v03,8192,0.3,22,128,0.8197842836380005,,0.7035796046257019,1
mistral_7b_instruct_v03,8192,0.3,22,256,0.7977526783943176,,0.6797252297401428,1
mistral_7b_instruct_v03,8192,0.3,22,512,0.761379063129425,,0.6433941721916199,1
mistral_7b_instruct_v03,8192,0.3,22,1024,0.7045724987983704,,0.5925048589706421,1
mistral_7b_instruct_v03,8192,0.3,23,1,0.9173330068588256,,0.8482757210731506,1
mistral_7b_instruct_v03,8192,0.3,23,2,0.8979696035385132,,0.8159561157226562,1
mistral_7b_instruct_v03,8192,0.3,23,4,0.8826428651809692,,0.7912132143974304,1
mistral_7b_instruct_v03,8192,0.3,23,8,0.8696521520614624,,0.7707492113113403,1
mistral_7b_instruct_v03,8192,0.3,23,16,0.856438934803009,,0.7507225871086121,1
mistral_7b_instruct_v03,8192,0.3,23,32,0.8392480611801147,,0.7257797718048096,1
mistral_7b_instruct_v03,8192,0.3,23,64,0.8237260580062866,,0.7049540281295776,1
mistral_7b_instruct_v03,8192,0.3,23,128,0.8039894104003906,,0.6805564761161804,1
mistral_7b_instruct_v03,8192,0.3,23,256,0.7719041705131531,,0.6433077454566956,1
mistral_7b_instruct_v03,8192,0.3,23,512,0.7456548810005188,,0.6216294169425964,1
mistral_7b_instruct_v03,8192,0.3,23,1024,0.6821455955505371,,0.5628783106803894,1
mistral_7b_instruct_v03,8192,0.3,24,1,0.9037625789642334,,0.8256611824035645,1
mistral_7b_instruct_v03,8192,0.3,24,2,0.8818046450614929,,0.7898988723754883,1
mistral_7b_instruct_v03,8192,0.3,24,4,0.8693118095397949,,0.7702643871307373,1
mistral_7b_instruct_v03,8192,0.3,24,8,0.8641831278800964,,0.7624529600143433,1
mistral_7b_instruct_v03,8192,0.3,24,16,0.8560656309127808,,0.7504037022590637,1
mistral_7b_instruct_v03,8192,0.3,24,32,0.8474223017692566,,0.7383552193641663,1
mistral_7b_instruct_v03,8192,0.3,24,64,0.837160050868988,,0.725099503993988,1
mistral_7b_instruct_v03,8192,0.3,24,128,0.8181523084640503,,0.7012805342674255,1
