method,token_length,subword_ppl,avg_nll,subword_ppl_all_targets,avg_nll_all_targets,target_tokens_scored,target_tokens_scored_all,num_books,target_tokens,include_first_target,compression_ratio,stride,model,pg19_source_dataset,physical_device
snapkv,29184,9.395658,2.24024768,9.425159,2.24338255,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,29696,9.747264,2.27698658,9.770957,2.27941443,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,30208,10.568678,2.35789474,10.597836,2.36064979,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,30720,9.477461,2.24891641,9.444013,2.24538099,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,31232,8.751688,2.16924665,8.732273,2.16702572,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,31744,8.846124,2.17997936,8.81635,2.1766079,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,32256,9.38403,2.23900929,9.382232,2.23881769,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,32768,8.516471,2.14200206,8.519265,2.14233012,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,1024,10.328447,2.33490196,10.381012,2.33997832,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,1536,11.325523,2.42705882,11.317823,2.42637878,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,2048,10.615901,2.36235294,10.60911,2.36171308,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,2560,10.703687,2.37058824,10.754036,2.37528116,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,3072,10.275926,2.32980392,10.250413,2.32731799,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,3584,10.013374,2.30392157,9.991959,2.30178065,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,4096,10.048777,2.30745098,10.012392,2.30382352,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,4608,9.456163,2.24666667,9.437438,2.24468459,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
