method,token_length,needle_depth,accuracy,samples,rouge_l_f1
block_wise,2048,40,0.0,3,0.3731431918414512
block_wise,2048,50,0.0,3,0.3390476141742916
block_wise,2048,60,0.3333333333333333,3,0.5681917881470426
block_wise,2048,70,0.0,3,0.4332399580916107
block_wise,2048,80,0.0,3,0.5188587959286052
block_wise,2048,90,1.0,3,0.7096774147762748
block_wise,2048,100,0.0,3,0.26086956294896035
block_wise,2304,0,0.0,3,0.1736481211174611
block_wise,2304,10,0.0,3,0.18431372071193142
block_wise,2304,20,0.0,3,0.24326530130156887
block_wise,2304,30,0.0,3,0.1889422387441496
block_wise,2304,40,0.0,3,0.1718576613550312
block_wise,2304,50,0.3333333333333333,3,0.5241408344243569
block_wise,2304,60,0.0,3,0.21312524530046764
block_wise,2304,70,0.0,3,0.21202613900171738
block_wise,2304,80,0.0,3,0.7448979544482334
block_wise,2304,90,0.0,3,0.2591383178590989
block_wise,2304,100,0.0,3,0.26086956294896035
block_wise,2560,0,0.3333333333333333,3,0.5398924684295916
block_wise,2560,10,0.0,3,0.20179931224283598
block_wise,2560,20,0.0,3,0.1486594589655715
block_wise,2560,30,0.0,3,0.3641598867503706
block_wise,2560,40,0.0,3,0.20929240776940686
block_wise,2560,50,0.0,3,0.38231958974239605
block_wise,2560,60,0.0,3,0.31156462102946003
block_wise,2560,70,0.3333333333333333,3,0.38621899898345635
block_wise,2560,80,0.0,3,0.16855219862097007
block_wise,2560,90,0.3333333333333333,3,0.29396654239970493
block_wise,2560,100,0.0,3,0.2719522560374845
block_wise,2816,0,0.3333333333333333,3,0.3847999916662677
block_wise,2816,10,0.0,3,0.1669961799874421
block_wise,2816,20,0.0,3,0.18501759199489076
block_wise,2816,30,0.0,3,0.16468036006169942
block_wise,2816,40,0.0,3,0.2765088256433483
block_wise,2816,50,0.3333333333333333,3,0.3743142370687642
block_wise,2816,60,0.0,3,0.14926253706692208
block_wise,2816,70,0.0,3,0.26412535408799404
block_wise,2816,80,1.0,3,0.6464516082508499
block_wise,2816,90,0.3333333333333333,3,0.3587631721488065
block_wise,2816,100,0.0,3,0.24057970703264028
block_wise,3072,0,0.3333333333333333,3,0.3440421282455972
block_wise,3072,10,0.3333333333333333,3,0.3740307903567461
block_wise,3072,20,0.3333333333333333,3,0.4159809037354309
block_wise,3072,30,0.3333333333333333,3,0.33098090375580125
block_wise,3072,40,0.3333333333333333,3,0.3922658621375263
block_wise,3072,50,0.0,3,0.37244897480845657
block_wise,3072,60,0.3333333333333333,3,0.3960896139173958
block_wise,3072,70,0.6666666666666666,3,0.4992620657780574
block_wise,3072,80,0.3333333333333333,3,0.5532258017629249
block_wise,3072,90,1.0,3,0.7096774147762748
block_wise,3072,100,0.0,3,0.26086956294896035
block_wise,3328,0,0.6666666666666666,3,0.512333961202894
block_wise,3328,10,0.0,3,0.20208751025810479
block_wise,3328,20,0.0,3,0.41725767840256306
block_wise,3328,30,0.0,3,0.4984472001576927
block_wise,3328,40,0.0,3,0.5115955424840005
block_wise,3328,50,0.0,3,0.1894444396240742
block_wise,3328,60,0.3333333333333333,3,0.48218916997079225
block_wise,3328,70,0.6666666666666666,3,0.6635944656331628
block_wise,3328,80,0.6666666666666666,3,0.7231182749550165
block_wise,3328,90,1.0,3,0.7096774147762748
block_wise,3328,100,0.0,3,0.26086956294896035
block_wise,3584,0,0.3333333333333333,3,0.5151139135827351
block_wise,3584,10,0.0,3,0.1953703655039096
block_wise,3584,20,0.0,3,0.21909330621837905
block_wise,3584,30,0.0,3,0.17636053938687676
block_wise,3584,40,0.3333333333333333,3,0.35322580165896417
block_wise,3584,50,0.0,3,0.5653594724100506
block_wise,3584,60,0.0,3,0.4253590276828591
block_wise,3584,70,0.0,3,0.5533333286083334
block_wise,3584,80,1.0,3,0.7096774147762748
block_wise,3584,90,0.6666666666666666,3,0.5600747975005033
block_wise,3584,100,0.0,3,0.26086956294896035
block_wise,3840,0,0.6666666666666666,3,0.5440402607034227
block_wise,3840,10,0.0,3,0.29501714732556955
block_wise,3840,20,0.0,3,0.35457515865792816
block_wise,3840,30,0.6666666666666666,3,0.5298558635403021
block_wise,3840,40,0.0,3,0.40627361574030435
block_wise,3840,50,0.0,3,0.18731212682077514
block_wise,3840,60,1.0,3,0.7096774147762748
block_wise,3840,70,0.6666666666666666,3,0.6716998351715078
block_wise,3840,80,0.6666666666666666,3,0.7560285401514012
block_wise,3840,90,1.0,3,0.7096774147762748
block_wise,3840,100,0.0,3,0.26086956294896035
block_wise,4096,0,0.3333333333333333,3,0.41070879503078234
block_wise,4096,10,0.0,3,0.1328676521020765
block_wise,4096,20,0.0,3,0.13535859791331636
block_wise,4096,30,0.0,3,0.3464420755281837
block_wise,4096,40,0.0,3,0.49545173738349146
block_wise,4096,50,0.0,3,0.13502454508086448
block_wise,4096,60,0.0,3,0.2956461522679445
block_wise,4096,70,1.0,3,0.7096774147762748
block_wise,4096,80,0.6666666666666666,3,0.6459577814100633
